"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8JG7SZKC","webpage","","","Genres Pluriels - Dix idées fausses sur l’intersexuation","","","","","https://www.genrespluriels.be/Dix-idees-fausses-sur-l-intersexuation","","","2017-05-23 20:44:54","2017-05-23 20:44:54","2017-05-23 20:44:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\FMUGBPB2\Dix-idees-fausses-sur-l-intersexuation.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSZ9TBFQ","webpage","2011","Admin","'ISGD' and the appropriation of intersex","OII Australia - Intersex Australia","","","","https://oii.org.au/13651/isgd-and-the-appropriation-of-intersex/","“I’ve been waiting for years for you to show up. It’s clear that transsexuals are not going to get our rights until intersexuals do.” (quoted by Suzanne Kessler, 1998) “Intersex is not one but many sites of contested being, [with] temporally sutured biomedical, political and social imperatives… ‘Intersex’ is a sign constantly under erasure, whose...  Read more →","2011-05-22","2017-05-23 21:02:12","2017-05-23 21:02:12","2017-05-23 21:02:12","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\M9W7WDVF\isgd-and-the-appropriation-of-intersex.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6DB27U9K","webpage","","","Trans as intersex: Crossing the line","Scavenger","","","","http://www.thescavenger.net/sex-gender-sexual-diversity/sgd-diversity/369-trans-as-intersex-crossing-the-line-56934.html","People from intersex, sex and/or gender diverse groups need to declare and emphasise our own identities, rather than letting others bully us into fitting into their version of who or what we are, writes Tracie O’Keefe. Intersex, transgender, world professional association for transgender health, wpath, OII australia","","2017-05-23 21:06:06","2017-05-23 21:06:06","2017-05-23 21:06:06","","","","","","","Trans as intersex","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\WNCVITGN\369-trans-as-intersex-crossing-the-line-56934.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9W7R34SQ","webpage","","","Transfaith :: Intersex and Trans","","","","","http://www.transfaithonline.org/empower/basics/intersex/intersex_and_trans/","","","2017-05-23 21:10:42","2017-05-23 21:10:42","2017-05-23 21:10:42","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\UFI429RM\intersex_and_trans.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3Z7I2SU","webpage","","","What's the difference between being transgender or transsexual and having an intersex condition? | Intersex Society of North America","","","","","http://www.isna.org/faq/transgender","","","2017-05-23 21:14:39","2017-05-23 21:14:39","2017-05-23 21:14:39","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\B8FWSNRJ\transgender.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNKNMVD9","webpage","","","Comprendre le « i » de LGBTI","","","","","https://www.amnesty.org/fr/latest/news/2016/10/intersex-awareness-day/","À l'occasion de la Journée de sensibilisation à l'intersexualité, nous avons discuté avec Kitty Anderson, une militante intersexuée de renom qui lutte depuis deux ans et demi pour les droits des personnes intersexuées.","","2017-05-23 21:18:56","2017-05-23 21:18:56","2017-05-23 21:18:56","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\Z46DWNXH\intersex-awareness-day.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8D8MZGH","webpage","","","Intersex Initiative: Adding the ""I"" to LGBT","","","","","http://www.intersexinitiative.org/articles/lgbti.html","","","2017-05-23 21:19:32","2017-05-23 21:19:32","2017-05-23 21:19:32","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\NAFIEE4C\lgbti.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G82FF3EG","webpage","","","Act Up-Paris | EXISTRANS 2013 - « TRANS, INTERSEXES : UNE LOI, DES DROITS ! »","","","","","http://www.actupparis.org/spip.php?article5277","","","2017-05-23 21:29:00","2017-05-23 21:29:00","2017-05-23 21:29:00","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\77I4DING\spip.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K33KFKKR","webpage","2013","","Brought to You by the Letter I: Why Intersex Politics Matters to LGBT Activism","Autostraddle","","","","https://www.autostraddle.com/brought-to-you-by-the-letter-i-why-intersex-politics-matters-to-lgbt-activism-192760/","“So, why are intersex issues being linked up with LGBT activism, and does this make sense? I’m here to argue, strongly, that yes – including intersex with LGBT and queer issues makes pe…","2013-09-23","2017-05-23 21:35:34","2017-05-23 21:35:34","2017-05-23 21:35:34","","","","","","","Brought to You by the Letter I","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\GWKBQ9SQ\brought-to-you-by-the-letter-i-why-intersex-politics-matters-to-lgbt-activism-192760.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WRG9ICD","webpage","","","Intersex Initiative: A Student Asks Questions about Intersex","","","","","http://www.intersexinitiative.org/academia/stephanie.html","","","2017-05-23 21:48:30","2017-05-23 21:48:30","2017-05-23 21:48:30","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\7NMZMVTR\stephanie.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
